RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,628.9342830602247,France,Female,42.0,2,-2830.86796443009,1,1,1,99792.14400407391,1
2,15647311,Hill,605.2347139765764,Spain,Female,41.0,1,80939.79160240538,1,0,1,114948.18458936826,0
3,15619304,Onio,514.9537707620138,France,Female,,8,159734.81384175984,3,1,0,110048.91451938893,1
4,15701354,Boni,729.4605971281605,France,Female,39.0,1,-3838.9145370383294,2,0,0,100167.23755852086,0
5,15737888,Mitchell,845.3169325055333,Spain,Female,43.0,2,131368.27684329575,1,1,1,78882.0383177154,0
6,15574012,Chu,640.3172608610164,Spain,Male,44.0,8,114536.19660190187,2,1,0,147245.29344681295,1
7,15592531,Bartlett,853.5842563101478,France,Male,,7,-8081.624179478378,2,1,1,12521.793653740935,0
8,15656148,Obinna,391.3486945830582,Germany,Female,29.0,4,117210.35889647306,4,1,0,123419.29741466425,1
9,15792365,He,491.610512281301,France,Male,44.0,4,138531.18068648802,2,0,1,75689.22068900555,0
10,15592389,H?,694.8512008717194,France,Male,27.0,2,141067.27378999433,1,1,1,72702.5994751376,0
11,15767821,Bearce,518.7316461437508,France,Male,31.0,6,103034.09529020867,2,0,0,85785.226369571,0
12,15737173,Andrews,487.68540492859483,Spain,Male,24.0,3,-5772.9420561037605,2,1,0,72011.18808180871,0
13,15632264,Kay,480.8392454313207,France,Female,34.0,10,-17560.766020757652,2,1,0,27563.35062338766,0
14,15691483,Chin,510.73439510684403,France,Female,25.0,5,3009.7456770179206,2,0,0,189577.35435690827,0
15,15600882,Scott,600.5016433497394,Spain,Female,35.0,7,-4889.621665677523,2,1,1,64230.08748606832,0
16,15643966,Goforth,604.7542494151805,Germany,Male,45.0,3,141441.60233904864,2,0,1,64579.359466446505,0
17,15737452,Romeo,632.7433775933116,Germany,Male,58.0,1,131806.9297029883,1,1,0,6229.457610346358,1
18,15788218,Henderson,555.2849466519056,Spain,Female,24.0,9,-1288.6058670261725,2,1,1,14092.658268798878,0
19,15661507,Muldrow,568.8395184895758,Spain,Male,45.0,6,-12682.389590452252,1,0,0,157348.7256348614,0
20,15568982,Hao,697.7539259732941,France,Female,24.0,6,14508.252758592855,2,1,1,47784.452755091464,0
21,15577657,McDonald,761.312975378431,France,Male,41.0,8,-3184.767502550444,2,1,1,169251.67231659425,0
22,15597945,Dellucci,631.4844739902692,Spain,Female,32.0,8,1571.5784388312911,2,1,0,139442.27822652113,0
23,15699309,Gerasimov,511.3505640937585,Spain,Female,38.0,4,-1263.059971669889,1,1,0,118340.88716584528,1
24,15725737,Mosman,640.5050362757308,France,Male,46.0,3,-3373.1358527517514,2,0,1,9880.075984245903,0
25,15625047,Yen,835.1123455094964,France,Female,38.0,5,-3313.7281011820496,1,1,1,184864.10531188775,0
26,15738191,Maclean,579.2184517941973,France,Male,25.0,3,8935.930149648824,2,0,1,123121.15411830993,0
27,15736816,Young,732.980128451554,Germany,Male,36.0,2,136172.44705192035,1,1,1,175968.50431936877,0
28,15700772,Nebechi,578.5139603669134,France,Male,44.0,9,2220.061822806397,2,0,0,42511.35301168976,0
29,15728693,McWilliams,561.9872262016238,Germany,Female,43.0,3,137081.67636482383,1,1,1,101026.42391014243,0
30,15656300,Lucciano,405.1661250041344,France,Male,29.0,0,58347.660097589396,2,1,1,56249.32398748236,0
31,15589475,Azikiwe,578.9658677554121,Spain,Female,39.0,3,-4020.2142350873855,3,1,0,142658.70234370578,1
32,15706552,Odinakachukwu,570.0455636901788,France,Male,36.0,7,89428.83720957774,1,0,1,155887.19703413147,0
33,15750181,Sanderson,552.7300555052414,Germany,Male,41.0,9,113558.82409200852,2,0,0,81279.48191632344,0
34,15659428,Maggard,498.84578142088196,Spain,Female,42.0,6,7038.101626159292,2,1,1,36693.17399095528,0
35,15732963,Clements,738.4508982420639,Spain,Female,29.0,9,7235.19285892763,2,1,1,143851.98963606713,0
36,15794171,Lombardo,450.58312700057957,France,Female,45.0,0,140697.37602053644,1,1,0,32862.43358394375,1
37,15788448,Watson,494.1772719000951,Spain,Male,31.0,3,152828.2203196431,1,0,1,117153.66997676021,0
38,15729599,Lorenzo,764.8065975224044,Spain,Male,33.0,7,69656.43327171088,1,0,1,91557.28792779768,0
39,15717426,Armstrong,823.4362790220314,France,Male,36.0,7,-2600.712198973388,1,1,1,42710.68136161145,0
40,15585768,Cameron,585.9372247173824,Germany,Male,,6,70158.97514729161,2,0,1,175285.35201097428,0
41,15619360,Hsiao,486.76933159990824,Spain,Male,40.0,4,-4239.841966927936,1,1,0,74120.33347368805,0
42,15738148,Clarke,468.42736562379946,France,Female,51.0,8,126768.55134391086,1,0,0,188611.20863515293,1
43,15687946,Osborne,553.6870343522353,France,Female,61.0,2,120129.83376104129,1,1,1,94529.35706482598,0
44,15755196,Lavine,827.9779260882142,France,Female,49.0,2,125792.7458581653,1,0,0,196574.59905466382,1
45,15684171,Bianchi,630.4295601926515,Spain,Female,61.0,5,169069.07665379043,1,1,1,158393.34091655194,0
46,15754849,Tyler,761.6031158321059,Germany,Female,,4,98078.68101995299,2,1,1,120335.11009420903,0
47,15602280,Martin,819.7872245808041,Germany,Female,,9,107112.09405849139,1,1,1,120623.38644467983,1
48,15771573,Okagbue,658.1424445243783,Germany,Female,39.0,9,134455.0166827898,1,1,1,109950.81402195357,1
49,15766205,Yin,556.8723657913692,Germany,Male,,2,113966.89503422119,1,0,1,88568.81534830698,0
50,15771873,Buccho,740.7391968927452,Germany,Female,37.0,2,105658.79984229217,2,1,0,195414.09868387607,0
51,15616550,Chidiebele,704.4816793878958,Germany,Male,44.0,10,120809.87950395701,2,1,0,195693.00202194072,0
52,15768193,Trevisani,577.2983543916737,Germany,Male,36.0,5,156562.883615988,2,0,0,86390.33261534652,0
53,15683553,O'Brien,774.4615599938809,France,Female,,5,568.3374318176059,2,0,0,114719.61306579449,0
54,15702298,Parkhill,667.2335257768173,Germany,Male,,8,112568.72007024898,1,0,0,161473.51190452024,1
55,15569590,Yoo,621.619990449919,Germany,Male,42.0,1,91003.21617607897,1,1,0,40615.02706007408,1
56,15760861,Phillipps,637.6256023823239,France,Male,43.0,1,127944.98777002643,1,1,1,113492.63086173817,0
57,15630053,Tsao,639.2156495355473,France,Male,45.0,5,130011.8260193133,1,1,0,82973.72228424884,0
58,15647091,Endrizzi,718.8157524829758,Germany,Male,19.0,0,79086.4667333286,1,0,0,49409.624847046194,0
59,15623944,T'ien,517.6252686280714,Spain,Female,66.0,4,5377.286272150063,1,1,0,3259.7756282245336,1
60,15804771,Velazquez,633.5109025424472,France,Male,51.0,4,38784.22160369583,1,1,1,47047.927950324665,0
61,15651280,Hunter,732.4165152430942,Germany,Male,35.0,5,127433.93599472697,1,0,0,81618.78071659588,0
62,15773469,Clark,683.2868204667236,Germany,Female,,9,142624.77530045286,2,0,0,128462.88970502661,0
63,15702014,Jeffrey,532.8733005198794,Spain,Male,33.0,1,57961.9027210399,2,0,0,183559.7517776363,0
64,15751208,Pirozzi,660.0758675183865,Spain,Male,56.0,8,104589.62699710335,1,1,1,104337.88302947937,0
65,15592461,Jackson,619.2505164478839,Germany,Male,26.0,4,110007.52256419437,1,1,1,98098.81678654542,0
66,15789484,Hammond,778.1248005714165,Germany,Female,36.0,6,168962.6450179611,2,1,1,27228.440129279337,0
67,15696061,Brownless,579.5597975683934,Germany,Female,34.0,1,86265.40499806678,1,1,0,112349.34661830877,0
68,15641582,Chibugo,755.0706579578405,Germany,Male,43.0,10,138384.41877001195,2,1,1,200058.25097841097,0
69,15638424,Glauert,668.2327205009526,Germany,Female,35.0,5,156427.8798511199,2,0,1,114163.91047706222,0
70,15755648,Pisano,662.0976049078974,France,Female,21.0,8,117199.98672351486,1,1,0,17130.125200616152,0
71,15703793,Konovalova,745.2279121101683,Germany,Male,58.0,2,141952.65530713095,4,1,0,23565.930455679965,1
72,15620344,McKee,843.7607313293195,France,Male,29.0,6,-5982.499946039682,1,1,0,34020.245991025724,0
73,15812518,Palermo,656.283479217801,Spain,Female,37.0,0,162514.47491079342,1,0,1,44423.60521263785,0
74,15779052,Ballard,635.2928731162801,Germany,Female,25.0,5,160956.11435358637,2,1,1,61835.761532202654,0
75,15770811,Wallace,466.60509791820516,France,Male,,9,-2214.594924240065,2,0,1,144051.71750278183,0
76,15780961,Cavenagh,751.4380500875045,France,Female,21.0,1,180347.4879109934,2,1,0,22415.00175582469,0
77,15614049,Hu,665.7409413647633,France,Male,55.0,8,-2694.2289549022703,2,1,1,139444.44396500895,0
78,15662085,Read,672.0198529906827,France,Female,32.0,9,5133.814692777916,1,1,1,150978.27633166785,0
79,15575185,Bushell,758.83521553071,Spain,Male,33.0,5,84867.20507607995,1,0,1,194383.99319532173,0
80,15803136,Postle,376.2486217079821,Germany,Female,41.0,10,122413.44945268026,2,1,0,93700.55778833522,0
81,15706021,Buley,660.6065622432498,France,Female,34.0,1,113331.64045625775,2,0,0,173336.80221200734,0
82,15663706,Leonard,784.1422514302349,France,Female,,2,5290.457168794295,1,1,0,135219.9570432986,1
83,15641732,Mills,572.5578808948303,France,Female,36.0,3,3059.7404314826344,2,0,0,26908.394320052885,0
84,15701164,Onyeorulu,495.63459563452705,France,Female,34.0,4,79852.3532235529,1,1,1,162394.23349703802,0
85,15738751,Beit,476.8301279421363,France,Female,46.0,4,5127.950873108544,2,1,0,3118.0383402533207,0
86,15805254,Ndukaku,641.9648591283092,Spain,Female,75.0,10,160.50181447239174,2,1,1,115366.69990002939,0
87,15762418,Gant,768.3080423540414,Spain,Male,22.0,3,125760.32493998592,1,1,0,127826.09024976702,1
88,15625759,Rowley,735.5750221931937,France,Male,30.0,9,5340.2747343513865,2,1,0,155049.82242088736,0
89,15622897,Sharpe,635.4047959246593,France,Female,46.0,4,4480.887850925937,3,1,0,91610.45454331336,1
90,15767954,Osborne,645.2653486622671,Germany,Female,28.0,3,89561.16068541494,2,1,1,158990.20113540528,0
91,15757535,Heap,648.9415509869609,Spain,Female,44.0,5,4596.210060784431,3,1,1,174263.40056083596,1
92,15731511,Ritchie,827.3728998106578,France,Male,45.0,7,128767.82494459319,2,1,0,144845.4087676477,0
93,15809248,Cole,509.958938122453,France,Female,,10,134.04040573978273,2,1,0,111126.71453393411,0
94,15640635,Capon,762.4467570680447,France,Male,29.0,8,-1208.8232941998322,2,1,1,168871.5455490242,0
95,15676966,Capon,722.1578369373569,Spain,Male,42.0,4,6619.138174615075,2,0,1,80422.08101887967,0
96,15699461,Fiorentini,485.7297010373576,Spain,Male,35.0,10,160520.97250560223,1,0,1,118834.79464447073,0
97,15738721,Graham,778.9224055412915,Spain,Male,41.0,9,105565.90479915727,1,0,1,66720.20468218469,0
98,15693683,Yuille,819.2211054435977,Germany,Male,29.0,8,91193.56285698761,2,1,1,198521.74683892514,0
99,15604348,Allard,710.1022691328492,Spain,Male,22.0,8,3041.0615220193267,2,0,0,100951.28683717629,0
100,15633059,Fanucci,408.3082573324971,France,Male,,9,14400.59264911837,2,0,0,13085.092438579992,0
101,15808582,Fu,636.6925851589917,France,Female,,6,-10856.613507426904,1,1,1,165090.7883892437,0
102,15743192,Hung,614.5870935446928,France,Female,44.0,6,-3028.5239782496296,2,0,0,170283.56672390833,0
103,15580146,Hung,731.1457096694646,France,Male,31.0,9,73802.49007190252,1,1,0,40712.92728482041,0
104,15776605,Bradley,511.9544546155676,Spain,Male,36.0,7,-3181.2727624884583,2,1,0,64135.706167633696,0
105,15804919,Dunbabin,666.7742857666799,Spain,Female,,1,-2993.828818080468,1,1,1,179311.07258586594,1
106,15613854,Mauldon,630.0810171362907,Spain,Female,46.0,4,112549.33213991052,2,1,1,29431.084022154468,1
107,15599195,Stiger,619.7237180242107,Germany,Male,32.0,1,102589.14765274558,1,1,1,14150.293769714199,0
108,15812878,Parsons,788.4915562566368,Germany,Female,36.0,2,100202.38696107379,1,0,1,33807.283930504316,0
109,15602312,Walkom,610.1510078144554,Spain,Male,33.0,5,147331.94311709795,1,0,0,73344.73470586992,0
110,15744689,T'ang,477.5110816846767,Germany,Male,35.0,9,101807.55423273215,1,1,0,94452.92266492403,1
111,15803526,Eremenko,646.6245756940191,Germany,Male,30.0,3,88210.02771897438,1,0,1,66623.2213326064,0
112,15665790,Rowntree,537.4697224910158,Germany,Male,39.0,7,100836.15212982197,2,1,0,29962.54506167868,0
113,15715951,Thorpe,563.2046041988206,France,Male,42.0,2,98464.78935371028,1,0,0,81099.7741812871,0
114,15591100,Chiemela,724.2648422497057,Spain,Male,36.0,9,105002.71299121538,1,0,1,24306.969804677745,0
115,15609618,Fanucci,717.1527807043776,Germany,Male,28.0,9,153301.60093765796,2,0,1,102734.77471529726,1
116,15675522,Ko,634.0309468466724,Germany,Female,30.0,9,130940.86758125342,2,1,1,76774.06817078959,0
117,15705512,Welch,667.3057646058951,Germany,Female,37.0,6,174754.38969668726,1,1,0,116661.2752890739,0
118,15698028,Duncan,482.62643924760937,France,Female,41.0,1,-6001.7994890333,2,1,0,29164.370942356218,0
119,15661670,Chidozie,546.8564562903005,Germany,Female,31.0,8,96830.63371290555,1,1,0,196543.40702194485,1
120,15600781,Wu,714.0386606537354,Germany,Male,34.0,4,186775.71173321555,2,1,0,123256.18141240165,0
121,15682472,Culbreth,843.820638940861,France,Male,,8,143218.68884750525,2,0,0,38250.710082561964,0
122,15580203,Kennedy,655.8122509041052,Spain,Male,,6,123689.51903371004,1,0,0,103168.19415116096,0
123,15690673,Cameron,684.055886218722,France,Female,39.0,6,9092.56594018463,2,1,0,136688.23803287154,0
124,15760085,Calabresi,655.9629787441545,Germany,Female,48.0,10,128945.91763432992,1,1,1,193328.6415125424,0
125,15779659,Zetticci,636.7371418760054,France,Female,28.0,3,-14999.211051912156,1,0,0,184102.88603467858,0
126,15627360,Fuller,475.80911251619955,France,Male,42.0,9,144347.2371968122,1,1,0,104251.8210667744,1
127,15671137,MacDonald,529.1892734973862,France,Female,,1,4499.720996711578,1,0,1,9949.153430309263,1
128,15782688,Piccio,613.6740454079445,Germany,Male,56.0,0,145564.4687245522,1,1,0,45609.88457049222,1
129,15575492,Kennedy,829.9930273017528,France,Female,41.0,7,2860.9909472386444,2,1,0,172485.4744910636,0
130,15591607,Fernie,759.930486917676,France,Male,24.0,9,101317.43180328126,1,1,0,166217.0670393753,0
131,15740404,He,726.9867313786774,France,Female,34.0,3,-9089.127584102684,2,1,1,125912.30039318475,0
